Date,Category,Amount,Type
2025-03-16,Loan Repayment,1562,Expense
2025-01-21,Rent,1430,Expense
2025-01-15,Medical,67,Expense
2025-02-16,Travel,471,Expense
2025-01-31,Rent,301,Expense
2025-02-21,Internet Bill,1666,Expense
2025-03-08,Investment,2382,Income
2025-02-19,Investment,6398,Income
2025-03-05,Medical,334,Expense
2025-01-22,Medical,373,Expense
2025-03-11,Entertainment,1083,Expense
2025-01-11,Travel,1317,Expense
2025-03-11,Salary,3959,Income
2025-03-28,Loan Repayment,614,Expense
2025-03-09,Travel,1837,Expense
2025-03-23,Medical,641,Expense
2025-03-01,Investment,5777,Income
2025-02-23,Groceries,580,Expense
2025-02-04,Utilities,961,Expense
2025-01-12,Freelance Work,6919,Income
2025-02-05,Travel,1031,Expense
2025-01-26,Internet Bill,1554,Expense
2025-01-20,Travel,1916,Expense
2025-03-02,Internet Bill,1541,Expense
2025-02-04,Groceries,658,Expense
2025-03-22,Rent,1480,Expense
2025-01-30,Investment,2411,Income
2025-03-25,Groceries,1749,Expense
2025-02-12,Insurance,1749,Expense
2025-03-27,Groceries,479,Expense
2025-01-10,Rent,557,Expense
2025-03-06,Loan Repayment,1073,Expense
2025-03-16,Entertainment,348,Expense
2025-02-12,Utilities,730,Expense
2025-01-20,Rent,1637,Expense
2025-02-08,Travel,775,Expense
2025-03-12,Internet Bill,342,Expense
2025-02-28,Entertainment,1958,Expense
2025-01-21,Rent,717,Expense
2025-03-19,Entertainment,397,Expense
2025-03-06,Medical,1579,Expense
2025-03-19,Salary,7537,Income
2025-01-22,Rent,1654,Expense
2025-01-16,Savings,1590,Expense
2025-02-25,Travel,1391,Expense
2025-03-17,Insurance,1454,Expense
2025-01-05,Insurance,1312,Expense
2025-01-01,Salary,3445,Income
2025-03-22,Entertainment,724,Expense
2025-01-12,Utilities,770,Expense
2025-01-23,Internet Bill,1697,Expense
2025-03-09,Salary,5166,Income
2025-01-02,Entertainment,761,Expense
2025-01-19,Rent,866,Expense
2025-02-01,Internet Bill,1074,Expense
2025-04-01,Rent,146,Expense
2025-03-09,Internet Bill,125,Expense
2025-03-03,Internet Bill,1552,Expense
2025-03-20,Insurance,1551,Expense
2025-03-02,Insurance,1630,Expense
2025-02-13,Loan Repayment,1636,Expense
2025-02-04,Rent,767,Expense
2025-02-01,Investment,4754,Income
2025-03-16,Freelance Work,6955,Income
2025-02-27,Investment,4707,Income
2025-02-16,Utilities,1511,Expense
2025-01-20,Salary,4176,Income
2025-03-25,Medical,1153,Expense
2025-01-02,Insurance,272,Expense
2025-03-03,Travel,854,Expense
2025-03-04,Utilities,483,Expense
2025-02-23,Freelance Work,2089,Income
2025-03-27,Dining Out,1785,Expense
2025-01-18,Freelance Work,4907,Income
2025-03-17,Internet Bill,1323,Expense
2025-02-07,Insurance,1334,Expense
2025-01-24,Salary,6206,Income
2025-02-04,Rent,530,Expense
2025-03-27,Utilities,289,Expense
2025-01-19,Entertainment,821,Expense
2025-02-07,Salary,2749,Income
2025-02-22,Freelance Work,3742,Income
2025-03-07,Investment,3553,Income
2025-02-03,Travel,1589,Expense
2025-03-20,Salary,5810,Income
2025-01-22,Salary,6008,Income
2025-03-20,Travel,801,Expense
2025-01-15,Travel,565,Expense
2025-02-02,Internet Bill,1419,Expense
2025-02-10,Dining Out,54,Expense
2025-02-20,Utilities,1222,Expense
2025-01-12,Rent,594,Expense
2025-02-06,Internet Bill,1272,Expense
2025-03-15,Freelance Work,4282,Income
2025-03-20,Internet Bill,283,Expense
2025-03-21,Insurance,1691,Expense
2025-03-29,Groceries,462,Expense
2025-02-17,Travel,1491,Expense
2025-02-16,Travel,1830,Expense
2025-03-08,Freelance Work,7097,Income
